law,ocr,gpt
PL093_495_1551,0.20454545454545456,0.20881226053639848
PL094_200,0.4888888888888889,0.42885906040268457
PL094_239,0.3339980059820538,0.27588075880758806
PL094_240,0.2845579078455791,0.219959266802444
PL098_181_1278,0.3744821872410936,0.3468858131487889
PL102_242_2334,0.31382978723404253,0.306218487394958
PL102_550,0.5973782771535581,0.5435244161358811
PL104_208,0.06818181818181818,0.03529411764705882
PL105_310,0.21390374331550802,0.20289200180750114
PL116_283,0.18867924528301888,0.2037037037037037
